Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008652~cellular amino acid biosynthetic process	50	5.656108597285068	1.9901711622445488E-17	YFR025C, YDR035W, YHR208W, YJR016C, YJR137C, YCL009C, YJR148W, YOR108W, YDR007W, YNR050C, YGL184C, YML082W, YJL088W, YLR303W, YMR062C, YOL140W, YER091C, YDR127W, YEL038W, YNL104C, YGL026C, YMR108W, YER052C, YDR158W, YPR167C, YOR130C, YOL058W, YCL018W, YPL273W, YGL009C, YBR084W, YER090W, YDR034C, YFR030W, YIR017C, YER055C, YIL116W, YKL211C, YPR145W, YOR303W, YER069W, YOR202W, YHR018C, YIL074C, YBR248C, YER081W, YLR355C, YCL030C, YJR130C, YJL071W	804	97	5557	3.562727599117813	2.6807605555434073E-14	2.6807605555434073E-14	2.6588686727587173E-14
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	61	6.900452488687783	5.628368708492054E-9	YJR063W, YDR398W, YER007C-A, YLR009W, YDL166C, YPL211W, YGL171W, YLR409C, YER126C, YOR310C, YDR339C, YLL011W, YMR229C, YLR002C, YLR276C, YDL208W, YGL078C, YGR103W, YEL026W, YPL081W, YML093W, YLR186W, YMR128W, YOL077C, YJL122W, YLL008W, YGR090W, YJL010C, YOR006C, YGR128C, YOR224C, YER006W, YNL061W, YBR189W, YHR052W, YCL054W, YDL063C, YNL248C, YLR175W, YBR247C, YKR043C, YHR089C, YHR065C, YCR072C, YBR154C, YOR243C, YDL014W, YDR449C, YMR049C, YLR222C, YNL182C, YPL012W, YLL034C, YHR085W, YOR206W, YKL009W, YBR142W, YDR060W, YDR324C, YMR097C, YDR432W	804	199	5557	2.118659216480412	7.5813838675831136E-6	3.790706325169398E-6	3.759750297272692E-6
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	57	6.4479638009049784	8.867744846903051E-7	YDR398W, YDL166C, YLR068W, YGL171W, YLR409C, YER126C, YOR310C, YDR339C, YGR159C, YLL011W, YMR229C, YLR002C, YLR276C, YDL208W, YGL078C, YGR103W, YEL026W, YPL081W, YML093W, YLR186W, YNL132W, YMR128W, YDR087C, YGR285C, YLL008W, YNL209W, YGR090W, YHR064C, YJL010C, YOR006C, YGR128C, YNL022C, YGR271C-A, YDR299W, YDL229W, YNL061W, YBR189W, YCL054W, YLR175W, YBR247C, YHR089C, YHR065C, YNL232W, YOR243C, YDL014W, YDR449C, YMR049C, YLR222C, YNL182C, YNL227C, YHR085W, YKL009W, YBR142W, YLR435W, YDR324C, YDR432W, YLR196W	804	206	5557	1.9124583393711057	0.001193772646400748	3.9816174362594696E-4	3.949102371820825E-4
GOTERM_BP_DIRECT	GO:0008152~metabolic process	71	8.031674208144796	2.0927540551169596E-6	YDR428C, YHR208W, YMR305C, YJR016C, YJR137C, YEL021W, YGL205W, YMR313C, YCL009C, YPL231W, YJR148W, YDR007W, YKL182W, YHR123W, YKR009C, YDL141W, YGR240C, YBR229C, YLR303W, YOR221C, YMR062C, YAL038W, YMR205C, YFL059W, YIL099W, YHR128W, YKL152C, YDR127W, YDL103C, YKL035W, YLR300W, YGL026C, YBR218C, YGR292W, YER052C, YFR015C, YIL123W, YPR167C, YDR009W, YPL188W, YGL009C, YBR084W, YNL333W, YDR050C, YNL010W, YNR016C, YPR026W, YIL160C, YER070W, YFR030W, YGR189C, YDL236W, YKL033W-A, YDR018C, YIL116W, YMR096W, YLR286C, YIL162W, YLR189C, YLR044C, YKL211C, YER069W, YIL074C, YER073W, YBR248C, YGL028C, YER081W, YGR267C, YGL253W, YCL030C, YGR279C	804	284	5557	1.7279228855721394	0.002814973173909441	7.047349280606361E-4	6.989798544090645E-4
GOTERM_BP_DIRECT	GO:0009082~branched-chain amino acid biosynthetic process	10	1.1312217194570136	1.0900462059104375E-5	YGL009C, YHR208W, YJR016C, YMR108W, YCL018W, YCL009C, YJR148W, YLR355C, YOR108W, YNL104C	804	13	5557	5.316685801760429	0.014575732794629648	0.0023280552175099275	0.0023090436307299654
GOTERM_BP_DIRECT	GO:0009086~methionine biosynthetic process	16	1.809954751131222	1.1220760400120939E-5	YER091C, YPR167C, YJR137C, YDR158W, YPL273W, YEL038W, YGL184C, YML082W, YBR084W, YOL064C, YLR303W, YFR030W, YGL125W, YIR017C, YJR130C, YER052C	804	32	5557	3.4558457711442787	0.015000799077911187	0.0023280552175099275	0.0023090436307299654
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	80	9.049773755656108	1.209828249633964E-5	YHR216W, YJR137C, YHR179W, YGL205W, YPL231W, YGR029W, YKL182W, YKR009C, YNR050C, YHR183W, YPL017C, YNL202W, YJL052W, YAL062W, YGL191W, YKL107W, YKL216W, YHR063C, YER174C, YGL256W, YCR107W, YBR035C, YNL241C, YEL039C, YDR127W, YKL086W, YAL061W, YLR070C, YDL085W, YFL056C, YJL045W, YPL252C, YIL111W, YJR119C, YMR083W, YDR158W, YPR167C, YCL018W, YNL240C, YBR145W, YER042W, YJR070C, YBR084W, YDL066W, YDL022W, YKR043C, YER070W, YFR030W, YJR111C, YML130C, YGL125W, YDR044W, YJR009C, YOL152W, YHR106W, YLR460C, YGR088W, YDR453C, YER069W, YJR101W, YKL029C, YCR004C, YLR290C, YIL074C, YPL113C, YML125C, YGL160W, YER073W, YKR066C, YER081W, YLR355C, YOR375C, YGR154C, YJR025C, YCL030C, YHL021C, YBR256C, YMR041C, YBR046C, YML056C	804	347	5557	1.5934735544181113	0.016164415784328257	0.0023280552175099275	0.0023090436307299654
GOTERM_BP_DIRECT	GO:0006526~arginine biosynthetic process	9	1.0180995475113122	2.024522491356749E-5	YJL088W, YOR130C, YOL058W, YOR303W, YER069W, YMR062C, YJL071W, YHR018C, YOL140W	804	11	5557	5.655020352781547	0.02690210856435027	0.003408789744821926	0.003380952560565771
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	32	3.619909502262444	2.4881125645423642E-5	YMR305C, YIL123W, YGL209W, YLR354C, YIL050W, YDR009W, YHR163W, YMR307W, YDL022W, YKR043C, YER003C, YPR026W, YBR229C, YGL035C, YKL060C, YGR189C, YNL241C, YIL099W, YKL104C, YIL162W, YLR286C, YLR189C, YGR248W, YLR070C, YBR018C, YGL028C, YLR300W, YGL059W, YGL253W, YGR292W, YNR034W, YGR279C	804	102	5557	2.168373817188567	0.03295987801512157	0.0037238751382650715	0.0036934648735873323
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	11	1.244343891402715	1.0044211550186684E-4	YJR009C, YBR239C, YDR050C, YKL152C, YJL052W, YBR218C, YGR254W, YCR012W, YKL060C, YBR196C, YHR174W	804	19	5557	4.001505629746007	0.12654819430598097	0.011728653335943431	0.011632873687320286
